antecedents,consequents,support,confidence,lift
"stockmarket, trade",stock,0.0214,0.981651376146789,2.7451101122673074
"stockmarket, invest",stock,0.0302,0.9805194805194806,2.741944856038816
"microsoft, facebook, amazon",apple,0.02,0.9174311926605505,6.826124945391001
stockmarket,stock,0.0622,0.9174041297935103,2.5654477902503086
inc,stock,0.0268,0.8933333333333334,2.4981357196122302
"apple, qqq",spy,0.021,0.875,6.782945736434108
investment,stock,0.0262,0.8733333333333334,2.4422073079791202
"microsoft, amazon",apple,0.027,0.8653846153846154,6.438873626373627
"apple, microsoft, facebook",amazon,0.02,0.8620689655172414,7.483237547892721
"microsoft, facebook",apple,0.0232,0.8592592592592592,6.393298059964726
"facebook, amazon",apple,0.0302,0.8483146067415731,6.3118646334938475
"spy, facebook",apple,0.0218,0.8384615384615385,6.238553113553114
"qqq, spx",spy,0.0224,0.835820895522388,6.479231748235566
"microsoft, facebook",amazon,0.0218,0.8074074074074075,7.008744855967079
invest,stock,0.0624,0.8041237113402061,2.2486680965889434
qqq,spy,0.0394,0.8008130081300813,6.20785277620218
"tesla, facebook",apple,0.0232,0.7891156462585034,5.871396177518627
"apple, facebook",amazon,0.0302,0.7704081632653061,6.6875708616780045
"spy, amazon",apple,0.0252,0.7544910179640719,5.613772455089821
"apple, microsoft",amazon,0.027,0.75,6.510416666666667
"microsoft, facebook","apple, amazon",0.02,0.7407407407407408,15.561780267662622
"apple, microsoft, amazon",facebook,0.02,0.7407407407407408,7.558578987150416
"spy, amazon",tesla,0.0242,0.7245508982035929,10.176276660162822
"tesla, facebook",amazon,0.0212,0.7210884353741497,6.259448223733939
"spy, tesla",apple,0.0244,0.7134502923976609,5.3084099136730725
"spy, tesla",amazon,0.0242,0.7076023391812865,6.1423814165042225
"apple, tesla",amazon,0.0266,0.7037037037037036,6.108539094650205
